ISSN	TÌtulo	Estrato
2359-1145	REGIT -  REVISTA DE ESTUDOS DE GEST√O, INFORMAÇÃO E TECNOLOGIA	B1
2090-2867	REHABILITATION RESEARCH AND PRACTICE	A3
0951-8320	RELIABILITY ENGINEERING & SYSTEMS SAFETY	A1
2448-167X	REM - INTERNATIONAL ENGINEERING JOURNAL	A4
1807-0353	REM: REVISTA ESCOLA DE MINAS	A4
0370-4467	REM. REVISTA ESCOLA DE MINAS (IMPRESSO)	A4
2072-4292	REMOTE SENSING	A1
2150-704X	REMOTE SENSING LETTERS	A2
2179-426X	RENCIMA	A2
1364-0321	RENEWABLE & SUSTAINABLE ENERGY REVIEWS	A1
0960-1481	RENEWABLE ENERGY	A1
1679-1916	RENOTE. REVISTA NOVAS TECNOLOGIAS NA EDUCAÇ«√O	A4
2446-4740	RESEARCH ON BIOMEDICAL ENGINEERING	A4
0270-1367	RESEARCH QUARTERLY FOR EXERCISE AND SPORT	A3
2525-3409	RESEARCH, SOCIETY AND DEVELOPMENT	C
2693-5015	RESEARCH SQUARE	C
1943-3654	RESPIRATORY CARE	A3
0020-1324	RESPIRATORY CARE	A3
0954-6111	RESPIRATORY MEDICINE	A2
1569-9048	RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY	A4
1806-0323	RETEC. REVISTA DE TECNOLOGIAS (OURINHOS)	B2
1982-646X	REVELA	C
2236-1294	REVERTE	B4
0034-6748	REVIEW OF SCIENTIFIC INSTRUMENTS	A3
2595-3125	REVISTA AGRÁRIA ACAD MICA	B4
2318-1419	REVISTA AMAZÔNIA SCIENCE & HEALTH	B1
1980-993X	REVISTA AMBIENTE & ÁGUA	A4
1888-7546	REVISTA ANDALUZA DE MEDICINA DEL DEPORTE	B1
2591-376X	REVISTA ARGENTINA DE BIOINGENIERÍA	B3
0329-5257	REVISTA ARGENTINA DE BIOINGENIERÍA	B3
2596-0253	REVISTA ARTIGOS.COM	C
2318-2660	REVISTA BAIANA DE SA⁄DE P⁄BLICA (ONLINE)	B2
1980-9735	REVISTA BRASILEIRA DE AGROECOLOGIA	B4
1983-4047	REVISTA BRASILEIRA DE APLICA«’ES DE VÁCUO (ONLINE)	C
1806-1362	REVISTA BRASILEIRA DE APRENDIZAGEM ABERTA E A DISTÂNCIA	A3
1983-0823	REVISTA BRASILEIRA DE BIOMETRIA	B4
0103-1716	REVISTA BRASILEIRA DE CI NCIA E MOVIMENTO	B2
2178-0013	REVISTA BRASILEIRA DE CIENCIAS POLICIAIS	B3
1415-8426	REVISTA BRASILEIRA DE CINEANTROPOMETRIA & DESEMPENHO HUMANO (IMPRESSO)	B1
0102-7638	REVISTA BRASILEIRA DE CIRURGIA CARDIOVASCULAR (IMPRESSO)	A4
2176-6649	REVISTA BRASILEIRA DE COMPUTAÇÃO APLICADA	B3
2237-9223	REVISTA BRASILEIRA DE CRIMINALISTICA	B1
1980-5470	REVISTA BRASILEIRA DE EDUCAÇ«√O ESPECIAL	A1
1981-4690	REVISTA BRASILEIRA DE EDUCACAO FISICA E ESPORTE	B2
0100-5502	REVISTA BRASILEIRA DE EDUCAÇ«√O M…DICA (IMPRESSO)	B1
1981-5271	REVISTA BRASILEIRA DE EDUCAÇ«√O M…DICA (ONLINE)	B1
2317-6652	REVISTA BRASILEIRA DE ENERGIA	B3
0104-303X	REVISTA BRASILEIRA DE ENERGIA	B3
2178-9606	REVISTA BRASILEIRA DE ENERGIA SOLAR	B4
2526-2831	REVISTA BRASILEIRA DE ENERGIA SOLAR (ONLINE)	B4
2237-9711	REVISTA BRASILEIRA DE ENERGIAS RENOVÁVEIS	B4
1984-0446	REVISTA BRASILEIRA DE ENFERMAGEM	A4
1807-1929	REVISTA BRASILEIRA DE ENGENHARIA AGRÕCOLA E AMBIENTAL (ONLINE)	A4
1517-3151	REVISTA BRASILEIRA DE ENGENHARIA BIOM…DICA	A4
1981-7061	REVISTA BRASILEIRA DE ENGENHARIA DE BIOSSISTEMAS / BRAZILIAN JOURNAL OF BIOSYSTEMS ENGINEERING (ONLINE)	B4
1982-873X	REVISTA BRASILEIRA DE ENSINO DE CI NCIA E TECNOLOGIA	A2
1806-1117	REVISTA BRASILEIRA DE ENSINO DE FÕSICA (IMPRESSO)	A1
1806-9126	REVISTA BRASILEIRA DE ENSINO DE FÕSICA (ONLINE)	A1
2237-2660	REVISTA BRASILEIRA DE ESTUDOS DA PRESENÇA [EPERIODICO]	A1
1679-0731	REVISTA BRASILEIRA DE FINANÇAS	A4
2176-8978	REVISTA BRASILEIRA DE FÕSICA M…DICA (IMPRESSO)	B3
1984-9001	REVISTA BRASILEIRA DE FÕSICA M…DICA (ONLINE)	B3
1806-9967	REVISTA BRASILEIRA DE FRUTICULTURA (ONLINE)	B1
1984-4956	REVISTA BRASILEIRA DE FUTSAL E FUTEBOL	B3
0102-261X	REVISTA BRASILEIRA DE GEOFÕSICA (IMPRESSO)	B2
1981-2256	REVISTA BRASILEIRA DE GERIATRIA E GERONTOLOGIA	A3
1809-9823	REVISTA BRASILEIRA DE GERIATRIA E GERONTOLOGIA (UNATI. IMPRESSO)	A3
0100-7203	REVISTA BRASILEIRA DE GINECOLOGIA E OBSTETRÍCIA (IMPRESSO)	B1
1414-5685	REVISTA BRASILEIRA DE INFORMÁTICA NA EDUCAÇ«√O	A4
2317-6121	REVISTA BRASILEIRA DE INFORMÁTICA NA EDUCAÇ«√O	A4
2359-232X	REVISTA BRASILEIRA DE INICIAÇÃO CIENTÍFICA	A4
2178-2822	REVISTA BRASILEIRA DE INOVAÇÃO	A3
2177-5184	REVISTA BRASILEIRA DE MARKETING	A3
2179-7994	REVISTA BRASILEIRA DE MEDICINA DE FAMÍLIA E COMUNIDADE (ONLINE)	B2
1517-8692	REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (IMPRESSO)	B1
1806-9940	REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (ONLINE)	B1
1679-4435	REVISTA BRASILEIRA DE MEDICINA DO TRABALHO	B3
0100-2430	REVISTA BRASILEIRA DE MEDICINA VETERINÁRIA	B2
1982-4351	REVISTA BRASILEIRA DE METEOROLOGIA	B1
0102-7786	REVISTA BRASILEIRA DE METEOROLOGIA (IMPRESSO)	B1
1981-9927	REVISTA BRASILEIRA DE NUTRIÇÃO ESPORTIVA	B2
1981-9919	REVISTA BRASILEIRA DE OBESIDADE, NUTRIÇÃO E EMAGRECIMENTO	B1
0034-7272	REVISTA BRASILEIRA DE ODONTOLOGIA	B3
0034-7280	REVISTA BRASILEIRA DE OFTALMOLOGIA (IMPRESSO)	B2
1519-7530	REVISTA BRASILEIRA DE PALEONTOLOGIA	B1
1981-9900	REVISTA BRASILEIRA DE PRESCRIÇÃO E FISIOLOGIA DO EXERCÍCIO	B2
1809-452X	REVISTA BRASILEIRA DE PSIQUIATRIA	A3
1516-4446	REVISTA BRASILEIRA DE PSIQUIATRIA (SÃO PAULO. 1999. IMPRESSO)	A3
2175-0858	REVISTA BRASILEIRA DE QUALIDADE DE VIDA	B4
2318-0331	REVISTA BRASILEIRA DE RECURSOS HÍDRICOS	A3
1983-4217	REVISTA BRASILEIRA DE REDES DE COMPUTADORES E SISTEMAS DISTRIBUÍDOS	C
1806-9304	REVISTA BRASILEIRA DE SA⁄DE MATERNO INFANTIL	B1
0103-507X	REVISTA BRASILEIRA DE TERAPIA INTENSIVA (IMPRESSO)	B1
0101-0794	REVISTA C & I. CONTROLE & INSTRUMENTAÇÃO	C
1982-0216	REVISTA CEFAC (ONLINE)	B1
2175-7275	REVISTA CEREUS	B1
1678-8346	REVISTA CERRADOS (UNIMONTES)	A4
1806-6690	REVISTA CI NCIA AGRONÔMICA (UFC. ONLINE)	A3
2179-460X	REVISTA CI NCIA E NATURA	A3
2236-6733	REVISTA CI NCIA E TECNOLOGIA	C
1679-4605	REVISTA CI NCIA EM EXTENSÃO	A4
2236-3785	REVISTA CI NCIAS EM SA⁄DE	B2
2175-4020	REVISTA CIENTÍFIC@ UNIVERSITAS	A3
2175-0556	REVISTA CIENTÍFICA HERMES	B1
2448-0959	REVISTA CIENTÍFICA MULTIDISCIPLINAR N⁄CLEO DO CONHECIMENTO	B1
2525-5150	REVISTA CIENTÍFICA UMC	B4
2422-2208	REVISTA CINTEX	B3
2176-0144	REVISTA CONEXÕES - CI NCIA E TECNOLOGIA	A2
1676-188X	REVISTA CONTEXTO & SA⁄DE	A4
2178-7514	REVISTA CPAQV	B2
2227-1899	REVISTA CUBANA DE CIENCIAS INFORMÁTICAS	B2
0253-9268	REVISTA CUBANA DE FÕSICA	B3
1679-2483	REVISTA DA ABET (IMPRESSO)	B4
1676-4439	REVISTA DA ABET (ONLINE)	B4
0102-7158	REVISTA DA ABRALIN	A3
0104-4230	REVISTA DA ASSOCIAÇÃO M…DICA BRASILEIRA	B1
1806-9282	REVISTA DA ASSOCIAÇÃO M…DICA BRASILEIRA	B1
0080-6234	REVISTA DA ESCOLA DE ENFERMAGEM DA USP	A2
1413-4012	REVISTA DA FACULDADE DE ODONTOLOGIA. UNIVERSIDADE DE PASSO FUNDO	B3
2236-5362	REVISTA DA UNIVERSIDADE VALE DO RIO VERDE	A4
1517-0276	REVISTA DA UNIVERSIDADE VALE DO RIO VERDE	A4
2526-3528	REVISTA DE ADMINISTRAÇÃO EM SA⁄DE (ONLINE)	B3
2596-2701	REVISTA DE CI NCIA DA COMPUTAÇÃO	B4
1517-591X	REVISTA DE CI NCIAS AGRÁRIAS (BEL…M)	B4
0556-5782	REVISTA DE ECONOMIA (UFPR)	B1
2316-2058	REVISTA DE EMPREENDEDORISMO E GEST√O DE PEQUENAS EMPRESAS	A3
1981-8963	REVISTA DE ENFERMAGEM UFPE	B1
2446-9378	REVISTA DE ENGENHARIA DA FACULDADE SALESIANA	C
2525-4251	REVISTA DE ENGENHARIA E PESQUISA APLICADA	B3
2176-7270	REVISTA DE ENGENHARIA E TECNOLOGIA	B4
0326-7091	REVISTA DE ENSEÑANZA DE LA FÕSICA	A3
2250-6101	REVISTA DE ENSEÑANZA DE LA FÕSICA (ONLINE)	A3
2236-0158	REVISTA DE ENSINO DE ENGENHARIA	B2
0104-0588	REVISTA DE ESTUDOS DA LINGUAGEM	A1
2237-2083	REVISTA DE ESTUDOS DA LINGUAGEM	A1
1519-504X	REVISTA DE ESTUDOS SOCIAIS (UFMT)	A4
2182-1267	REVISTA DE GEOGRAFIA E ORDENAMENTO DO TERRITÓRIO	A1
0719-0573	REVISTA DE GEOGRAFÌA ESPACIOS	B4
1645-4464	REVISTA DE GEST√O DOS PAISES DE LINGUA PORTUGUESA (RGPLP)	B1
2236-0972	REVISTA DE GEST√O E PROJETOS	A4
2316-3712	REVISTA DE GEST√O EM SISTEMAS DE SA⁄DE	A4
2525-376X	REVISTA DE GRADUAÇÃO DA USP	B2
1809-5585	REVISTA DE INFORMÁTICA APLICADA	C
0103-4308	REVISTA DE INFORMÁTICA TEÓRICA E APLICADA	B3
2175-2745	REVISTA DE INFORMÁTICA TEÓRICA E APLICADA: RITA	B3
2238-5339	REVISTA DE MEDICINA E SA⁄DE DE BRASÍLIA	B3
0034-8554	REVISTA DE MEDICINA (USP)	B2
2446-8622	REVISTA DE MICRO E PEQUENAS EMPRESAS E EMPREENDEDORISMO DA FATEC OSASCO	B2
2182-7214	REVISTA DE MORFOLOGIA URBANA	A3
1983-5183	REVISTA DE ODONTOLOGIA DA UNICID - UNIVERSIDADE CIDADE DE SÃO PAULO (ONLINE)	B3
2175-5361	REVISTA DE PESQUISA: CUIDADO E FUNDAMENTAL (ONLINE)	B2
0124-0064	REVISTA DE SALUD PUBLICA	B1
2525-9563	REVISTA DE SA⁄DE DIGITAL E TECNOLOGIAS EDUCACIONAIS	B4
1518-8787	REVISTA DE SA⁄DE P⁄BLICA (ONLINE)	A1
1983-5604	REVISTA DE SISTEMAS DE INFORMAÇÃO DA FSMA	B4
2237-2903	REVISTA DE SISTEMAS E COMPUTAÇÃO - RSC	B4
2237-3713	REVISTA DE TECNOLOGIA APLICADA	B1
2237-5112	REVISTA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO	B4
2237-5104	REVISTA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO	B4
2317-3793	REVISTA DIÁLOGOS INTERDISCIPLINARES	B2
2447-908X	REVISTA DO ARQUIVO	B4
0104-1894	REVISTA DO INSTITUTO DE CIENCIAS DA SAUDE (UNIP)	B3
2448-1750	REVISTA DO MUSEU DE ARQUEOLOGIA E ETNOLOGIA	A2
2594-4746	REVISTA DO PROFESSOR DE FÕSICA (ONLINE)	C
2237-5864	REVISTA DOC NCIA DO ENSINO SUPERIOR	A4
1794-1237	REVISTA EIA	B3
2178-2091	REVISTA ELETR‘NICA ACERVO SA⁄DE	B1
1519-8219	REVISTA ELETR‘NICA DE INICIAÇÃO CIENTÍFICA	C
1984-557X	REVISTA ELETR‘NICA DE POT NCIA	A4
2236-2150	REVISTA ELETR‘NICA DEBATES EM EDUCAÇ«√O CIENTÍFICA E TECNOLÓGICA	A4
2236-1170	REVISTA ELETR‘NICA EM GEST√O, EDUCAÇ«√O E TECNOLOGIA AMBIENTAL REGET-CT/UFSM	B1
2316-9664	REVISTA ELETR‘NICA PAULISTA DE MATEMÁTICA	C
1984-0993	REVISTA ELETR‘NICA TECCEN	C
2359-6082	REVISTA EMREDE - REVISTA DE EDUCAÇ«√O À DISTÂNCIA	A4
1809-2926	REVISTA ENAF SCIENCE (ON-LINE)	C
1809-4430	REVISTA ENGENHARIA AGRÕCOLA (ON-LINE)	B1
2316-2341	REVISTA ENIAC PESQUISA	B1
2318-1001	REVISTA EVIDENCIAÇÃO CONTÁBIL & FINANÇAS	A3
0120-6230	REVISTA FACULTAD DE INGENIERÍA UNIVERSIDAD DE ANTIOQUIA	B2
1678-0817	REVISTA FISIO&TERAPIA	B2
1809-2950	REVISTA FISIOTERAPIA E PESQUISA	B1
2238-8753	REVISTA GEST√O & SUSTENTABILIDADE AMBIENTAL	B2
1645-3298	REVISTA GYMNASIUM	B2
2317-109X	REVISTA HORIZONTES	A2
1697-7912	REVISTA IBEROAMERICANA DE AUTOMÁTICA E INFORMÁTICA INDUSTRIAL (ED. IMPRESA)	B1
2179-6858	REVISTA IBERO-AMERICANA DE CI NCIAS AMBIENTAIS	C
1137-2729	REVISTA IBEROAMERICANA DE INGENIERÍA MECÁNICA	C
1850-9959	REVISTA IBEROAMERICANA DE TECNOLOGIA EN EDUCACIÓN Y EDUCACIÓN EN TECNOLOGÍA (EN LÍNEA)	A4
1548-0992	REVISTA IEEE AM…RICA LATINA	B2
2359-4799	REVISTA IFES CI NCIA	C
1984-8625	REVISTA ILUMINART	B1
1909-9762	REVISTA INGENIERÍA BIOM…DICA	B3
2447-598X	REVISTA INOVA CI NCIA & TECNOLOGIA / INNOVATIVE SCIENCE & TECHNOLOGY JOURNAL	B4
2596-0865	REVISTA INTEGRAÇÃO ENGENHARIA	C
2359-4756	REVISTA INTERCIENTE	C
2238-832X	REVISTA INTERDISCIPLINAR DE ESTUDOS EM SA⁄DE	B2
2595-3664	REVISTA INTERDISCIPLINAR DE PROMOÇÃO DA SA⁄DE	B2
2447-5955	REVISTA INTERDISCIPLINAR DE TECNOLOGIAS E EDUCAÇ«√O	B1
2526-3544	REVISTA INTERINSTITUCIONAL BRASILEIRA DE TERAPIA OCUPACIONAL	B2
2526-5830	REVISTA IPT	B4
2236-0093	REVISTA JUNIOR DE INICIAÇÃO CIENTÍFICA EM CI NCIAS EXATAS E ENGENHARIA	C
2176-901X	REVISTA KAIRÓS (ONLINE)	B1
1518-8345	REVISTA LATINO-AMERICANA DE ENFERMAGEM (ONLINE)	A2
2393-6401	REVISTA LATINOAMERICANA DE POBLACIÓN (RELAP)	A2
2175-2990	REVISTA LATINOAMERICANA DE TELESSA⁄DE	C
0188-9532	REVISTA MEXICANA DE INGENIERÍA BIOM…DICA	B3
2316-4522	REVISTA MILITAR DE CI NCIA E TECNOLOGIA	B4
2525-4782	REVISTA MUNDI ENGENHARIA, TECNOLOGIA E GEST√O	B3
2318-8472	REVISTA NACIONAL DE GERENCIAMENTO DE CIDADES	A3
0103-0582	REVISTA PAULISTA DE PEDIATRIA (IMPRESSO)	B1
1982-2596	REVISTA PENSAMENTO CONTEMPORÂNEO EM ADMINISTRAÇÃO	A3
1645-0523	REVISTA PORTUGUESA DE CI NCIAS DO DESPORTO	B1
2183-8453	REVISTA PORTUGUESA DE SA⁄DE OCUPACIONAL	B3
1519-0919	REVISTA PROFISSÃO DOCENTE	A4
2178-6275	REVISTA PROJEÇÃO E DOC NCIA	B1
2447-8822	REVISTA SA⁄DE E MEIO AMBIENTE – RESMA	C
2358-7946	REVISTA SA⁄DE EM FOCO	C
2594-7036	REVISTA SÍTIO NOVO	B2
1809-3957	REVISTA SODEBRAS	B2
1980-6973	REVISTA SOLDAGEM E INSPEÇÃO	B2
2525-3395	REVISTA STRICTO SENSU	B2
1809-0044	REVISTA TECNOLOGIA E SOCIEDADE	A4
1984-3526	REVISTA TECNOLOGIA E SOCIEDADE (ONLINE)	A4
1679-169X	REVISTA TECNOLOGIA E TEND NCIAS	B4
2318-8448	REVISTA TEORIA E EVID NCIA ECONÔMICA (ONLINE)	B2
1657-4583	REVISTA UIS INGENIERIAS	B1
1519-5694	REVISTA UNIANDRADE (IMPRESSO)	B2
2318-2083	REVISTA UNILUS ENSINO E PESQUISA (ONLINE)	B1
1517-3275	REVISTA UNIVAP	B1
1984-6835	REVISTA VIRTUAL DE QUÕMICA	B2
2317-9937	REVISTA VÓRTEX	A1
1981-8637	RGO. REVISTA GA⁄CHA DE ODONTOLOGIA (ONLINE)	B3
0035-4511	RHEOLOGICA ACTA (PRINT)	A3
1646-9895	RISTI (PORTO)	A4
0263-5747	ROBOTICA (CAMBRIDGE. PRINT)	A1
2218-6581	ROBOTICS	A4
2577-2899	ROBOTICS & AUTOMATION ENGINEERING JOURNAL	C
0921-8890	ROBOTICS AND AUTONOMOUS SYSTEMS (PRINT)	A1
0736-5845	ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING	A1
1365-2966	ROYAL ASTRONOMICAL SOCIETY. MONTHLY NOTICES	A1
2054-5703	ROYAL SOCIETY OPEN SCIENCE	A1
2046-2069	RSC ADVANCES: AN INTERNATIONAL JOURNAL TO FURTHER THE CHEMICAL SCIENCES	A2
2632-8682	RSC MEDICINAL CHEMISTRY	B3
2446-6298	SABER HUMANO: REVISTA CIENTÍFICA DA FACULDADE ANTONIO MENEGHETTI	B2
1946-391X	SAE INTERNATIONAL JOURNAL OF COMMERCIAL VEHICLES (PRINT)	B1
1946-3952	SAE INTERNATIONAL JOURNAL OF FUELS AND LUBRICANTS (PRINT)	A3
2572-1046	SAE INTERNATIONAL JOURNAL OF TRANSPORTATION CYBERSECURITY AND PRIVACY	B4
2327-5634	SAE INTERNATIONAL JOURNAL OF TRANSPORTATION SAFETY	A3
0103-1104	SAUDE EM DEBATE	A4
2358-2898	SA⁄DE EM DEBATE	A4
1519-5600	SA⁄DE EM FOCO (RIO DE JANEIRO)	B3
2236-3297	SBC JOURNAL ON 3D INTERACTIVE SYSTEMS	B1
0586-7614	SCHIZOPHRENIA BULLETIN	A1
0920-9964	SCHIZOPHRENIA RESEARCH (PRINT)	A1
2375-2548	SCIENCE ADVANCES	A1
1095-9203	SCIENCE (NEW YORK, N.Y.: ONLINE)	A1
0167-6423	SCIENCE OF COMPUTER PROGRAMMING (PRINT)	A4
0048-9697	SCIENCE OF THE TOTAL ENVIRONMENT	A1
0304-4238	SCIENTIA HORTICULTURAE	A1
1813-0135	SCIENTIA MEDICA (LA PAZ)	B4
1806-5562	SCIENTIA MEDICA (PORTO ALEGRE. IMPRESSO)	B1
1980-6108	SCIENTIA MEDICA (PORTO ALEGRE. ONLINE)	B1
1808-2793	SCIENTIA PLENA	A4
2595-1459	SCIENTIFIC JOURNAL OF THE FOOT & ANKLE	B4
2045-2322	SCIENTIFIC REPORTS	A1
1939-0114	SECURITY AND COMMUNICATION NETWORKS	A3
1939-0122	SECURITY AND COMMUNICATION NETWORKS	A3
1809-0648	SELEÇÃO DOCUMENTAL	C
2236-6717	SEMANA ACAD MICA: REVISTA CIENTÍFICA	B3
1361-6641	SEMICONDUCTOR SCIENCE AND TECHNOLOGY	A2
0268-1242	SEMICONDUCTOR SCIENCE AND TECHNOLOGY (PRINT)	A2
1679-0375	SEMINA. CI NCIAS EXATAS E TECNOLÓGICAS (ONLINE)	B4
1726-5479	SENSORS & TRANSDUCERS	C
0924-4247	SENSORS AND ACTUATORS. A, PHYSICAL	A1
0925-4005	SENSORS AND ACTUATORS. B, CHEMICAL	A1
0914-4935	SENSORS AND MATERIALS	B2
1424-8220	SENSORS (BASEL)	A2
2446-9246	SET INTERNATIONAL JOURNAL OF BROADCAST ENGINEERING	B4
1877-0533	SET-VALUED AND VARIATIONAL ANALYSIS: THEORY AND APPLICATIONS	A2
1070-9622	SHOCK AND VIBRATION	A4
1064-8275	SIAM JOURNAL ON SCIENTIFIC COMPUTING (PRINT)	A1
1863-1703	SIGNAL, IMAGE AND VIDEO PROCESSING (PRINT)	A3
0923-5965	SIGNAL PROCESSING. IMAGE COMMUNICATION	A2
0165-1684	SIGNAL PROCESSING (PRINT)	A1
1569-190X	SIMULATION MODELLING PRACTICE AND THEORY	A1
0037-5497	SIMULATION (SAN DIEGO, CALIF.)	A4
2177-451X	SINERGIA (IFSP. ONLINE)	C
1980-5160	SISTEMAS & GEST√O	B1
0909-752X	SKIN RESEARCH AND TECHNOLOGY	A3
1520-9512	SLEEP & BREATHING	A4
1389-9457	SLEEP MEDICINE (AMSTERDAM. PRINT)	A1
1984-0063	SLEEP SCIENCE	B1
2624-6511	SMART CITIES	C
2190-3018	SMART INNOVATION, SYSTEMS AND TECHNOLOGIES	B2
0964-1726	SMART MATERIALS AND STRUCTURES (PRINT)	A1
2523-3963	SN APPLIED SCIENCES	B2
2523-3971	SN APPLIED SCIENCES	B2
2661-8907	SN COMPUTER SCIENCE	B2
1982-4513	SOCIEDADE & NATUREZA (UFU. ONLINE)	A1
1678-9849	SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA	B1
1433-7479	SOFT COMPUTING	A1
1432-7643	SOFT COMPUTING (BERLIN. PRINT)	A1
1619-1374	SOFTWARE & SYSTEMS MODELING (ONLINE)	A2
1619-1366	SOFTWARE AND SYSTEMS MODELING	A2
0163-5948	SOFTWARE ENGINEERING NOTES	C
0038-0644	SOFTWARE, PRACTICE & EXPERIENCE (PRINT)	A3
0963-9314	SOFTWARE QUALITY JOURNAL	A2
0960-0833	SOFTWARE TESTING, VERIFICATION & RELIABILITY	A2
2352-7110	SOFTWAREX	A4
1980-9743	SOILS & ROCKS	B1
0038-092X	SOLAR ENERGY	A1
0927-0248	SOLAR ENERGY MATERIALS AND SOLAR CELLS	A1
0038-0938	SOLAR PHYSICS	A3
0104-9224	SOLDAGEM E INSPEÇÃO (IMPRESSO)	B2
0038-1098	SOLID STATE COMMUNICATIONS	A4
1293-2558	SOLID STATE SCIENCES	A3
0038-1101	SOLID-STATE ELECTRONICS	A3
0899-0220	SOMATOSENSORY & MOTOR RESEARCH	B2
2446-5763	SOUTH AMERICAN DEVELOPMENT SOCIETY JOURNAL	B2
1542-7390	SPACE WEATHER (ONLINE)	A2
1387-5868	SPATIAL COGNITION AND COMPUTATION	A2
1086-055X	SPE JOURNAL (SOCIETY OF PETROLEUM ENGINEERS (U.S.). 1996)	A1
1930-1863	SPE PRODUCTION & OPERATIONS	A3
1930-1855	SPE PRODUCTION & OPERATIONS	A3
1094-6470	SPE RESERVOIR EVALUATION & ENGINEERING	A2
1386-1425	SPECTROCHIMICA ACTA. PART A, MOLECULAR AND BIOMOLECULAR SPECTROSCOPY (PRINT)	A1
0038-7010	SPECTROSCOPY LETTERS	B2
0167-6393	SPEECH COMMUNICATION (PRINT)	A1
1362-4393	SPINAL CORD	A1
1824-7490	SPORT SCIENCES FOR HEALTH (TESTO STAMPATO)	B1
0039-0402	STATISTICA NEERLANDICA (PRINT)	B1
1938-7989	STATISTICS AND ITS INTERFACE	B2
1757-6512	STEM CELL RESEARCH & THERAPY	A2
0039-128X	STEROIDS (STONEHAM, MA.)	A4
1436-3240	STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT (PRINT)	A2
1744-2508	STOCHASTICS (ABINGDON. PRINT)	B1
1607-8888	STRESS	A2
1025-3890	STRESS (LUXEMBOURG. PRINT)	A2
0039-2480	STROJNISKI VESTNIK	A3
1615-147X	STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION (PRINT)	A1
1751-7648	STRUCTURAL CONCRETE (LONDON. ONLINE)	A2
1225-4568	STRUCTURAL ENGINEERING AND MECHANICS	A2
1475-9217	STRUCTURAL HEALTH MONITORING	A1
0926-9630	STUDIES IN HEALTH TECHNOLOGY AND INFORMATICS	B3
1220-1766	STUDIES IN INFORMATICS AND CONTROL	B1
0972-1525	SUGAR TECH	A4
0953-2048	SUPERCONDUCTOR SCIENCE AND TECHNOLOGY (PRINT)	A2
0749-6036	SUPERLATTICES AND MICROSTRUCTURES	A3
1359-8546	SUPPLY CHAIN MANAGEMENT	A1
0941-4355	SUPPORTIVE CARE IN CANCER	A2
0257-8972	SURFACE & COATINGS TECHNOLOGY	A1
2050-6252	SURFACE INNOVATIONS	A2
0039-6028	SURFACE SCIENCE	A2
2571-9637	SURFACES	B2
2468-0230	SURFACES AND INTERFACES	A2
2578-0379	SURGICAL MEDICINE OPEN ACCESS JOURNAL	C
0169-3298	SURVEYS IN GEOPHYSICS	A1
2071-1050	SUSTAINABILITY (BASEL)	A2
2210-6707	SUSTAINABLE CITIES AND SOCIETY	A1
2210-5379	SUSTAINABLE COMPUTING: INFORMATICS AND SYSTEMS	A2
2352-4677	SUSTAINABLE ENERGY, GRIDS AND NETWORKS	A2
2213-1388	SUSTAINABLE ENERGY TECHNOLOGIES AND ASSESSMENTS AN INTERNATIONAL JOURNAL	A2
2363-5037	SUSTAINABLE WATER RESOURCES MANAGEMENT	A4
2179-9067	SUSTENTABILIDADE EM DEBATE	A4
2210-6502	SWARM AND EVOLUTIONARY COMPUTATION	A1
1935-3812	SWARM INTELLIGENCE	A2
0334-5114	SYMBIOSIS (PHILADELPHIA, PA.)	A2
2073-8994	SYMMETRY	A4
0379-6779	SYNTHETIC METALS	A1
2046-4053	SYSTEMATIC REVIEWS	A4
0167-6911	SYSTEMS & CONTROL LETTERS (PRINT)	A1
1092-7026	SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE	A2
2164-2583	SYSTEMS SCIENCE & CONTROL ENGINEERING	B1
0039-9140	TALANTA (OXFORD)	A1
2238-8079	TEAR - REVISTA DE EDUCAÇ«√O, CI NCIA E TECNOLOGIA	B1
1055-4181	TECHNOLOGY AND DISABILITY	A4
0375-7765	TECNIA	B4
2309-0413	TECNIA	B4
1414-8498	TECNOLOGIA & CULTURA (CEFET/RJ)	B3
2176-1523	TECNOLOGIA EM METALURGIA, MATERIAIS E MINERAÇÃO	B1
0379-3982	TECNOLOGÍA EN MARCHA	B4
1572-9451	TELECOMMUNICATION SYSTEMS	A3
1018-4864	TELECOMMUNICATIONS SYSTEMS	A3
0736-5853	TELEMATICS AND INFORMATICS	A1
1530-5627	TELEMEDICINE JOURNAL AND E-HEALTH	A2
1677-1966	TEMA. TEND NCIAS EM MATEMÁTICA APLICADA E COMPUTACIONAL	B4
2179-8451	TEND NCIAS EM MATEMÁTICA APLICADA E COMPUTACIONAL	B4
0104-0960	TEORIA E EVIDENCIA ECONOMICA (UPF)	B2
0040-5175	TEXTILE RESEARCH JOURNAL	A2
1983-3652	TEXTO LIVRE	A1
